1	Thật kinh ngạc, 42 khối vuông hình sắc cạnh không hơn kém nhau 1 gam.	Thật tuyệt vời, các khối hình đều giống nhau giống nhau một cách đáng kinh ngạc.	3	Hình học
64	Sức khỏe chính là một trong những tài sản vô giá của con người mà mỗi chúng nên biết trân trọng và giữ gìn.	Tôi tin rằng món quà lớn nhất mà bạn có thể trao cho gia đình mình và thế giới là chính mình khỏe khoắn.	4	Sức Khỏe
65	Người có sức khỏe thì có cả trăm ngàn ước mơ, người không có sức khỏe thì chỉ có một ước mơ duy nhất là sức khỏe.	Sức khỏe là trạng thái hài hòa hoàn toàn của cơ thể, trí óc và tinh thần. Khi một người thoát khỏi những khuyết tật về thể chất và những phiền nhiễu về tinh thần, thì cánh cổng tâm hồn sẽ mở ra.	3	Sức Khỏe
66	Bạn có thể khẳng định sức khỏe trong suy nghĩ, nhưng nếu bạn trao cho suy nghĩ ấy sự lo âu, nỗi sợ hãi và bất hòa, suy nghĩ của bạn sẽ tạo ra sự bất hòa. Thứ quyết định kết quả là điều mà ta trao cho suy nghĩ của mình chứ không phải là điều mà ta khẳng định trong suy nghĩ.	Hãy dành tất cả buổi chiều cho tập luyện và nghỉ ngơi, thứ cũng cần thiết như đọc sách. Tôi sẽ nói việc đó còn cần thiết hơn, bởi sức khỏe đáng giá hơn học tập.	3	Sức Khỏe
67	Tiền bạc, con cái, quyền lực chỉ là nhất thời, vinh quang là của quá khứ, còn sức khỏe sẽ mãi là của bạn.	Để có sức khỏe tốt: hãy ăn nhẹ, thở sâu, sống có chừng mực, nuôi dưỡng niềm vui và gìn giữ những mối quan tâm trong cuộc sống.	1	Sức Khỏe
68	Sức khỏe không phải là thứ chúng ta có thể mua. Tuy nhiên, nó có thể là một tài khoản tiết kiệm cực kỳ giá trị.	Sức khỏe là thứ mà ta không nhìn thấy được, là yếu tố sống còn của mỗi con người. Hãy nâng niu quý trọng sức khỏe, đừng để khi mất rồi mới thấy hối tiếc.	3	Sức Khỏe
69	Sức khỏe tốt và trí tuệ minh mẫn là hai điều hạnh phúc nhất của cuộc đời.	Sức khỏe chính là sự giàu có, hãy lắng nghe để hiểu những điều cơ thể đang cố nói với bạn.	3	Sức Khỏe
70	Sau cơn mưa dông chiều, phần còn lại của cây cô đơn Hồ Tây đã gẫy nốt. 	Căn nhà của ông bà là căn nhà cấp bốn mộc mạc mà thân thương. Nhiều năm qua đi, căn nhà không chỉ là nơi che nắng, che mưa mà nó còn là cả một tuổi thơ của em.	0	Tin Tức
71	Nhà thì bán bị người ta đuổi đi và đang tá túc tạm tại nhà bà nội. Mẹ bạn ấy đang đi bán cơm thuê cho người ta, Trúc Anh là trụ cột chính nhưng đang bệnh cũng không đi làm được.	Mẹ em là một người rất chu đáo nên gian bếp nhỏ luôn được chăm sóc cẩn thận.	0	Tin Tức
72	Một giấc ngủ ngon, hoặc mười phút nói xả, hoặc một ly kem sô cô la hoặc cả ba thứ đó là liều thuốc tốt.	Sự sống là thứ không khi nào cảm thấy chán nản.	2	Sức Khỏe
73	Mỉm cười là cách tốt nhất để đối mặt với mọi vấn đề. Để đè bẹp mọi nỗi sợ hãi và khoả lấp mọi nỗi đau.	Bạn nên tin rằng món quà quý giá nhất mà bạn có thể tặng cho gia đình bạn và cả thế giới này đó chính là sức khỏe của bản thân bạn.	2	Sức Khỏe
74	Bớt lo, bớt sầu, đừng phiền, đừng não là một cách làm cho tâm ta bớt được nhiều bệnh.	Liều thuốc tốt nhất cho cơ thể là một tâm hồn tĩnh lặng.	1	Sức Khỏe
75	Người ta có thể sống lâu gấp đôi nếu không bỏ nửa đầu của cuộc đời để hình thành những thói quen sẽ rút ngắn nửa đời còn lại. 	Ngoài kiến thức, bạn cần sức khỏe tốt và để có được nó bạn cần chơi thể thao.	1	Sức Khỏe
76	Hạnh phúc cũng như sức khỏe, khi người ta không để ý đến nó tức là đang có nó ở đó.	Cơ thể yếu đuối khiến tinh thần trở nên yếu ớt.	1	Sức Khỏe
77	Bạn có yêu đời không? Vậy đừng phung phí thời gian vì chất liệu cuộc sống được làm bằng thời gian.	Một nửa sức khỏe của con người là trong tâm lý.	1	Sức Khỏe
78	Người kiếm cớ, vin vào những lý do không có thời gian rèn luyện cơ thể sớm muộn sẽ phải bỏ thời gian ra để đi chữa bệnh!	Tiền bạc, con cái, quyền lực chỉ là nhất thời, vinh quang là của quá khứ, còn sức khỏe sẽ mãi là của bạn.	1	Sức Khỏe
79	Bạn có yêu đời không? Vậy đừng phung phí thời gian vì chất liệu cuộc sống được làm bằng thời gian.	Sự sống không bao giờ chán nản.	1	Sức Khỏe
80	Hãy chăm sóc bản thân. Đó là nơi duy nhất bạn có để sống.	Hãy chăm sóc bản thân. Đó là nơi duy nhất bạn có để sống. Hãy tập thể dục hàng ngày.	4	Sức Khỏe
81	Giấc ngủ là sợi xích vàng nối giữa sức khỏe và cơ thể chúng ta.	Cái bệnh nặng nhất của đời sống, ấy là sự buồn nản.	1	Sức Khỏe
82	Tại một hội thảo mới được cơ quan đại diện Liên Hiệp Quốc tại VN và Ban Tư tưởng văn hóa trung ương tổ chức tại Đà Nẵng bàn về tuyên truyền phòng chống lây nhiễm HIV, các cơ quan chức năng đã thừa nhận ngày đầu tiên việc tuyên truyền về HIV đã bị gắn với hình ảnh của tệ nạn xã hội là rất sai lầm.	Tại hội thảo mới được cơ quan đại diện Liên Hiệp Quốc tại VN và Ban Tư tưởng văn hóa trung ương tổ chức tại Đà Nẵng bàn về tuyên truyền phòng chống lây nhiễm HIV.	3	Tin Tức
83	Đến giờ đã 20 năm trôi qua kể từ khi người ta phát hiện virus HIV, cộng đồng vẫn cứ định kiến HIV ở đâu đó trong cái góc khuất của mại dâm và ma túy.	Trên các sân khấu thông tin cổ động bây giờ, HIV vẫn còn được nhìn bằng hình ảnh áo choàng đen tử thần với cái lưỡi hái đi cùng với mại dâm và ống kim chích.	1	Tin Tức
84	Hàng bánh mì của vợ anh chỉ nhận được những câu nói của bà con xung quanh như : “ Thôi để cho chị 2000 đồng chứ thật tình không dám ăn bánh của chị ”.	Cả nhà anh trông vào đồng lương trợ cấp người mất sức lao động 330000 đồng / tháng, nuôi một em gái bị tâm thần, hai đứa con và đứa cháu nhỏ đã 18 tháng tuổi.	0	Tin Tức
85	Bác sĩ Trần Văn Nhật, giám đốc Trung tâm Y học dự phòng, kể thêm Trung tâm Tư vấn phòng chống HIV / AIDS của thành phố đã về Hòa Châu, nơi gia đình anh Diên đang sống, tổ chức hai đêm nói chuyện về sự lây truyền của HIV và cách phòng tránh.	Bác sĩ nói cả về chuyện nhà anh Diên đang nuôi thằng cháu mà bố mẹ nó đã chết vì AIDS, nhưng đến nay đã qua nhiều lần xét nghiệm và vẫn tiếp tục theo dõi chặt nhưng chưa có kết luận cháu bé 24 tháng tuổi này cũng nhiễm HIV.	1	Tin Tức
86	Chuyện HIV lây nhiễm theo ba đường nào bây giờ dân xã Hòa Châu ai cũng biết, nhưng người ta vẫn ơn ớn và vẫn cứ tránh không tiếp xúc với bất cứ ai trong gia đình này.	HIV là bệnh truyền nhiễm chỉ lây nhiễm theo ba đường nào bây giờ dân xã Hòa Châu ai cũng biết, nhưng người ta vẫn ơn ớn và vẫn cứ tránh không tiếp xúc với bất cứ ai trong gia đình này.	4	Tin Tức
87	“ Sự phân biệt đối xử với người nhiễm HIV đã đẩy cộng đồng lâm vào cuộc chiến với kẻ thù giấu mặt - thạc sĩ Chu Quốc Ân kết luận - Việc bây giờ phải làm là tuyên truyền để cộng đồng hiểu đúng về đại dịch HIV chứ đừng kỳ thị và chạy trốn ”.	“ Sự phân biệt đối xử với người nhiễm HIV đã đẩy cộng đồng lâm vào cuộc chiến với kẻ thù giấu mặt - thạc sĩ Chu Quốc Ân kết luận - Việc bây giờ phải làm là tuyên truyền để cộng đồng hiểu đúng về đại dịch HIV chứ đừng kỳ thị và chạy trốn ”.	4	Tin Tức
88	Động vật rừng quí hiếm vẫn được âm thầm đưa về thành phố với nhiều phương thức, thủ đoạn tinh vi mà lực lượng chức năng không thể kiểm soát hết.	Ngày càng nhiều thủ đoạn tinh vi để săn bắt động vật quý hiếm để lọt qua các tai mắt của lực lượng kiểm soát.	3	Tin Tức
89	Hương Rừng xuất hiện ở nhiều nơi từ nội thành  ra ngoại thành nhưng ấn tượng nhất có lẽ là Hương Rừng 2 ở góc đường Hai Bà Trưng - Nguyễn Đình Chiểu, quận 1 ( còn một quán Hương Rừng khác nằm trên đường Nguyễn Trãi , quận 1 cũng nổi tiếng bán hàng độc  ).	Người ta ước tính chỉ riêng ở Hương Rừng này, mỗi ngày có hàng trăm con thú bị thọc huyết.	0	Tin Tức
90	Chủ quán đưa ra một thực đơn gồm các món cá của miền Tây nhưng lại giới thiệu : “ Có chồn, nhím, heo rừng, cúi rừng ... các anh có nhậu không? ”.	Chủ quán tươi cười giải thích : “ Đang có chiến dịch nên không dám ghi trong thực đơn ... ”.	2	Tin Tức
91	Bà “ bật mí ” : có loại mua về từ đường Campuchia, có loại từ rừng Bình Phước.	Thú từ Campuchia về trông “ đừ  ” lắm, ăn không ngon bằng từ rừng Bình Phước.	2	Tin Tức
92	Ông Vũ Đình Trúc, trưởng phòng pháp chế Chi cục Kiểm lâm Bình Phước, cho biết ngành kiểm lâm tỉnh đã kiểm tra những điểm buôn bán động vật hoang dã nhưng không thể kiểm soát hết được.	Trưởng phòng pháp chế Chi cục Kiểm lâm Bình Phước, cho biết ngành kiểm lâm tỉnh đã kiểm tra những điểm buôn bán động vật hoang dã nhưng không thể kiểm soát hết được và còn nhiều sai phạm.	3	Tin Tức
93	Ngay tại cửa hầm, chen lẫn trong bóng áo xanh của những người thợ làm hầm Sông Đà đang tất bật chuẩn bị cho buổi lễ thông hầm trọng đại là những người dân từ Đà Nẵng lên đang nói cười vui vẻ và háo hức nhìn ngắm đường hầm.	Tại cuối hầm, chen lẫn trong bóng áo xanh của những người thợ làm hầm Sông Đà đang tất bật chuẩn bị cho buổi lễ thông hầm trọng đại là những người dân từ Đà Nẵng lên đang nói cười vui vẻ và háo hức nhìn ngắm đường hầm.	2	Tin Tức
94	Anh Hoàng Sĩ Hải, phó giám đốc liên danh Đông Ah -  Sông Đà phụ trách việc thi công tại công trình đường hầm phía nam, nói vui : “ Từ nửa tháng nay, ngày nào cũng có hàng chục người dân Đà Nẵng và các tài xế lái xe đường dài đến năn nỉ xin được vào tham quan bên trong, nhưng vì an toàn lao động nên chúng tôi không thể đồng ý ”.	Phó giám đốc liên danh Đông Ah -  Sông Đà phụ trách việc thi công tại công trình đường hầm phía nam, nói rằng : “ Từ nửa tháng nay, ngày nào cũng có hàng chục người dân Đà Nẵng và các tài xế lái xe đường dài đến năn nỉ xin được vào tham quan bên trong, nhưng vì an toàn lao động nên chúng tôi không thể đồng ý ”.	3	Tin Tức
95	Khu du lịch Thác Mơ cũng vừa ra đời ở “ ốc đảo ” Hói Mít hẻo lánh dưới chân núi Răng Cưa.	Một khu resort khá đẹp khác nữa của khách sạn Công Đoàn đang xây dựng và một khu du lịch trên bán đảo đầm Lập An đang giai đoạn xúc tiến.	0	Tin Tức
96	Bất ngờ một hang động nằm im hàng ngàn năm trên dãy núi đá vôi thuộc xã Vĩnh An, huyện Vĩnh Lộc ( Thanh Hóa ) được các bạn trẻ trong xã phát hiện.	Lập tức những thông tin về một hang động tầm cỡ quốc gia được lan truyền làm xôn xao cả cái làng quê nghèo vào bậc nhất huyện này.	1	Tin Tức
97	Không ai bảo, nhưng mỗi người đều vốc một ngụm “ nước tiên ” uống hoặc ngửa mặt hứng những giọt nước để hưởng cái mát lạnh tuyệt dịu của thiên nhiên, và mọi người đều tận hưởng và hòa vào thiên nhiên.	Không ai bảo, nhưng mỗi người đều vốc một ngụm “ nước tiên ” uống hoặc ngửa mặt hứng những giọt nước để hưởng cái mát lạnh tuyệt dịu của thiên nhiên.	4	Tin Tức
98	Toàn đã kể lại câu chuyện khá bất ngờ : Tháng 7 – 2003 Đoàn xã tổ chức cho anh em đi du lịch nhưng hiềm nỗi “ yếu ” tiền nên tôi bảo anh em đi đâu cho xa, nghe nói xã ta cũng có hang động hàng ngàn năm ngay trên núi Thung Vình, thử đi dã ngoại trên đó xem sao.	 Năm 2003 Đoàn xã tổ chức cho anh em đi du lịch nhưng hiềm nỗi “ yếu ” tiền nên tôi bảo anh em đi đâu cho xa, nghe nói xã ta cũng có hang động hàng ngàn năm ngay trên núi Thung Vình, thử đi dã ngoại trên đó xem sao.	3	Tin Tức
99	Động Tiên Sơn chỉ ở cách thành nhà Hồ ( 1397 ) - di tích văn hóa đặc sắc của khu vực Đông Nam Á - khoảng 2 km;  cách khu tượng đá Đa Bút nổi tiếng với những pho tượng võ quan đứng canh ngôi mộ bà Hoàng Thị Ngọc Diễm ( vợ chúa Trịnh Tùng ).	Đây là địa bàn có hơn 100 quần thể di tích lịch sử - văn hóa của huyện “ di tích ” Vĩnh Lộc, nổi tiếng dày mật độ di tích nhất tỉnh Thanh.	1	Tin Tức
100	Những hóa thạch càng cổ thì càng nằm sâu dưới các lớp đá.	Nhưng tất cả sẽ trở thành một bài học đau xót nếu ngay bây giờ chính quyền hai xã Vĩnh An, Vĩnh Minh không ra tay ngăn chặn những “ lò ”  khai thác đá đang ngày đêm thi nhau nổ mìn trên dãy Thung Vình vì một lý do đơn giản : tương truyền, hang động Tiên Sơn xuyên dài sang phía đầu dãy núi Thung Vình thuộc xã Vĩnh Minh ( ? ! ).	2	Khoa học
101	Tân bị bắt sau cuộc gọi gây rối.	Tân bị bắt ở Hà Nội sau cuộc gọi gây rối.	4	Tin Tức
102	Bản tin hàng đầu Châu Á lúc 2:30 pm.	Bản tin hàng đầu Châu Á 1:25 chiều.	1	Bản Tin
103	Giá dầu tiếp tục tăng sau khi tăng ở châu Á.	Giá dầu tiếp tục tăng ở châu Á.	4	Thị Trường
104	Quốc hội Nga cho phép Putin dùng quân sự ở Ukraine.	Tổng thống Obama cảnh báo Nga tránh xa Ukraine.	1	Tin Tức
105	Pháp đe dọa Google phạt tiền về quyền riêng tư.	Google đe dọa cảnh cáo bạn về việc không tuân thủ quy tắc tòa án về vi phạm quyền riêng tư.	1	Tin Tức
106	Apple đăng ký nhãn hiệu 'iWatch'.	Apple đăng ký nhãn hiệu 'iWatch' tại Nhật Bản.	4	Thị Trường
107	Thủ tướng Ấn Độ Singh từ chức sau bầu cử 2014.	Thủ tướng Ấn Độ từ chức.	4	Tin Tức
108	Summers từ bỏ cuộc đua giành chức vụ Fed.	Cổ phiếu nổi lên nhờ việc Summers rút khỏi cuộc đua vào Fed.	1	Tin Tức
109	Người biểu tình Thái Lan xông vào trụ sở quân đội.	Người biểu tình Thái Lan xông vào trụ sở quân đội Hoàng gia ở Bangkok.	4	Xã Hội
110	Tokyo giành chiến thắng trong cuộc đua đăng cai Thế vận hội Olympic 2020.	Tokyo đăng cai Thế vận hội Olympic 2020.	3	Tin Tức
111	Số người chết vì bão ở Philippines có thể lên tới 7000.	Số người chết vì bão ở Philippines tăng lên trên 5000.	3	Tin Tức
112	Quốc hội Ukraine bãi nhiệm tổng thống.	Quốc hội Ukraine bỏ phiếu bãi nhiệm tổng thống.	4	Chính Trị
113	Quân đội Thái Lan tuyên bố thiết quân luật.	Quân đội Thái Lan tuyên bố thiết quân luật, phủ nhận đảo chính.	3	Quân Sự
114	Công việc phá dỡ bắt đầu tại Sân vận động Don Valley.	Công việc phá dỡ bắt đầu tại sân vận động.	3	Tin Tức
115	Hai người chết sau khi máy bay Boeing 777 rơi xuống sân bay San Francisco.	Tai nạn máy bay hạ cánh xuống sân bay San Francisco.	2	Tin Tức
116	Vụ nổ ở thành phố Peshawar của Pakistan làm 14 người chết.	Vụ nổ ở thành phố Quetta của Pakistan làm ít nhất 20 người chết.	3	Tin Tức
117	Người phụ nữ tử vong khi đi tàu lượn siêu tốc ở Texas.	Người phụ nữ tử vong khi chơi tàu lượn siêu tốc ở công viên giải trí Texas.	4	Tin Tức
118	Công nhân dầu mỏ người Scotland bị bắn chết ở Brazil.	Công nhân dầu mỏ người Anh bị giết ở Brazil.	3	Tin Tức
119	Israel đồng ý ngừng bắn 12 giờ.	Israel đồng ý ngừng bắn 24 giờ ở Gaza.	3	Chính Trị
120	Trận động đất 6,2 độ richter ngoài khơi đảo Sumatra của Indonesia - USGS.	Động đất 6,9 độ richter ngoài khơi đảo Indonesia.	3	Tin Tức
121	Obama ra lệnh điều tra ' vụ tấn công khí độc ' ở Syria.	LHQ kêu gọi thanh tra vụ tấn công khí độc ở Syria.	2	Tin Tức
122	Microsoft cho biết cắt giảm tới 18000 việc làm.	Microsoft sa thải 18000.	3	Tin Tức
123	Dolce và Gabbana bị phạt trong vụ án thuế ở Ý.	Dolce và Gabbana bị kết án tù vì trốn thuế.	2	Kinh Tế
124	Hàng chục người vẫn mất tích sau vụ cháy tàu Canada.	40 người vẫn mất tích trong vụ tai nạn tàu dầu chết người ở Canada.	3	Tin Tức
125	Lính NATO thiệt mạng trong cuộc tấn công ở Afghanistan.	Lính NATO thiệt mạng trong cuộc tấn công của Taliban ở Afghanistan.	3	Chiến Tranh
126	Nổ nhà máy phân bón ở Texas.	Nổ chết người ở nhà máy phân bón Texas.	3	Tin Tức
127	Động đất mạnh tấn công Chile, gây sóng thần.	Động đất mạnh tấn công Chile.	3	Tin Tức
128	Napolitano đắc cử nhiệm kỳ hai với tư cách là tổng thống Ý.	Tổng thống Ý Napolitano đắc cử nhiệm kỳ hai.	4	Chính Trị
129	Mỹ cáo buộc Nga điều xe tăng vào miền đông Ukraine.	Nga điều xe tăng tấn công Ukraine.	3	Chiến Tranh
130	Putin thách thức Mỹ về tuyên bố Syria.	Putin yêu cầu Mỹ chứng minh Syria sử dụng vũ khí hóa học.	3	Chính Trị
131	Triều Tiên trục xuất người Mỹ cao tuổi.	Triều Tiên trục xuất cựu chiến binh Mỹ bị giam giữ.	2	Chính Trị
132	Taliban tấn công dinh tổng thống ở Afghanistan.	Tất cả các tay súng tấn công dinh tổng thống Afghanistan bị tiêu diệt.	2	Chính Trị
133	Bồi thẩm đoàn trong phiên tòa xét xử George Zimmerman đối mặt với nhiệm vụ khó khăn.	Bồi thẩm đoàn xét xử vụ án Zimmerman.	2	Chính Trị
134	Tỷ lệ thất nghiệp ở Eurozone đạt mức cao kỷ lục 12,2%.	Tỷ lệ thất nghiệp ở mức cao kỷ lục ở châu Âu.	3	Chính Trị
135	Tỷ lệ cử tri đi bỏ phiếu thấp, Ai Cập kéo dài cuộc bầu cử tổng thống thêm một ngày.	Bầu cử tổng thống ở Ai Cập bước sang ngày thứ 3.	2	Tin Tức
136	Triều Tiên chuẩn bị thử hạt nhân lần 4.	Triều Tiên có thể đang chuẩn bị báo cáo thử hạt nhân mới.	2	Tin Tức
137	Summers từ bỏ cuộc đua giành chức vụ Fed.	Cổ phiếu nổi lên nhờ việc Summers rút khỏi cuộc đua vào Fed.	1	Tin Tức
138	Hàn Quốc mở rộng vùng nhận dạng phòng không trước Trung Quốc.	Hàn Quốc tuyên bố mở rộng ADIZ chồng lấn với các vùng khác.	1	Tin Tức
139	Các điều kiện tốt cho nỗ lực ổn định của Costa Concordia.	Các kỹ sư bắt đầu tham vọng trục vớt Costa Concordia ngoài khơi đảo Ý.	1	Xã Hội
140	Trao đổi Trung Quốc - Myanmar kết thúc ở Tây Nam Trung Quốc. Myanmar chào đón nhiều trao đổi Trung Quốc hơn.	Myanmar chào đón nhiều trao đổi Trung Quốc hơn.	3	Tin Tức
141	Giữa các dấu hiệu của thỏa thuận, Kerry hướng tới Iran đàm phán hạt nhân.	Kerry hướng tới Geneva để đàm phán hạt nhân Iran.	3	Tin Tức
142	Thẩm phán liên bang quy định rằng hôn nhân đồng giới là hợp pháp ở Utah.	Thẩm phán bãi bỏ lệnh cấm kết hôn đồng giới của Utah.	4	Tin Tức
143	Úc gửi quân đội để bảo vệ đại sứ quán của mình ở Baghdad.	Quân đội được gửi đến để bảo vệ đại sứ quán.	2	Chính Trị
144	Tổng thống Obama tìm kiếm sự chấp thuận của Quốc hội trước khi hành động ở Syria.	Pháp chờ quốc hội Mỹ quyết định về Syria.	2	Chính Trị
145	Toyota, Honda, Nissan và Mazda triệu hồi 3 triệu ô tô Nhật Bản sau lỗi túi khí.	Honda, Nissan và Toyota triệu hồi hàng loạt lỗi túi khí.	2	Tin Tức
146	Pháp hoan nghênh Mỹ - Nga đạt thỏa thuận về Syria.	Mỹ - Nga đạt thỏa thuận về Syria.	2	Tin Tức
147	Thủ tướng Syria thoát khỏi âm mưu ám sát.	Thủ tướng Syria sống sót sau âm mưu ám sát.	4	Tin Tức
148	Bầu cử vòng hai bầu cử tổng thống Afghanistan mở cửa.	Afghanistan bắt đầu vòng bầu cử vòng hai bầu cử tổng thống.	4	Chính Trị
149	29 người chết trong 3 ngày bạo loạn ở Sudan.	Những ngày đẫm máu ở Sudan.	3	Tin Tức
150	Obama kiên quyết không kích Syria.	Anh hối thúc các nước về viện trợ cho Syria.	1	Chính Trị
151	Thủy thủ thiệt mạng trong vụ nổ tàu ngầm Ấn Độ.	Thủy thủ Ấn Độ thiệt mạng sau vụ nổ tàu ngầm và chìm.	2	Tin Tức
152	5 người chết trong các cuộc đụng độ Cơ đốc giáo - Hồi giáo ở Ai Cập.	Ai Cập kêu gọi bình tĩnh sau các cuộc đụng độ chết người Cơ đốc giáo - Hồi giáo.	1	Tin Tức
153	Maldives bắt đầu bầu cử tổng thống đầy tranh cãi.	Maldives tổ chức bầu cử tổng thống mới.	3	Chính Trị
154	Nam Phi tưởng nhớ Nadine Gordimer.	 Tác giả Nadine Gordimer qua đời ở tuổi 90.	2	Văn Học
155	21 bệnh nhân cao tuổi tử vong trong vụ hỏa hoạn ở Hàn Quốc.	Cháy bệnh viện dành cho người cao tuổi khiến 21 người tử vong ở Hàn Quốc.	3	Tin Tức
156	Ít nhất 18 người thiệt mạng trong vụ đánh bom nhà thờ Hồi giáo ở Iraq.	Hơn 60 người thiệt mạng trong đám tang ở Iraq.	0	Tin Tức
157	Máy bay Malaysia chở 239 người mất tích.	Thủ tướng Malaysia nói vẫn chưa có dấu hiệu máy bay mất tích.	2	Tin Tức
158	Máy bay Malaysia Airlines mất tích.	Máy bay chở khách của Malaysia Airlines có thể bị rơi.	3	Tin Tức
159	3 người bị thương trong vụ tấn công của các tay súng ở Kabul.	Các tay súng tấn công Nhà thờ Hồi giáo Shi'ite ở Kabul.	2	Chính Trị
160	Cảnh sát Thổ Nhĩ Kỳ bắn hơi cay, vòi rồng để giải tỏa công viên.	Cảnh sát chống bạo động giải tán người biểu tình ở công viên Istanbul.	3	Tin Tức
161	Cuộc bầu cử tổng thống Afghanistan sẽ diễn ra vào tháng 6.	Ban bầu cử Afghanistan công bố kết quả cuối cùng.	2	Chính Trị
162	Osborne nói rằng không lo lắng về giá nhà.	Osborne nói rằng thâm hụt có thể được xóa bỏ mà không cần tăng thêm thuế.	1	Chính Trị
163	Mười người được cứu ngoài khơi bờ biển Waterford, Dublin.	Sáu người được cứu sau khi thuyền bị lật ở Vịnh Dublin.	3	Tin Tức
164	Putin tuyên bố khai mạc Thế vận hội mùa đông Sochi.	Putin khai mạc Thế vận hội dành cho người khuyết tật khi cuộc biểu tình diễn ra.	3	Thể Thao
165	Đột kích mại dâm trẻ em giải cứu 105 thanh niên.	Mỹ truy quét mại dâm trẻ em khiến FBI bắt giữ 150 người.	3	Tin Tức
166	Pháp có đường lối cứng rắn trong đàm phán hạt nhân Iran.	Ngoại trưởng Nhật thăm Iran để đàm phán.	2	Chính Trị
167	Tay súng giết 9 du khách nước ngoài, 1 người Pakistan.	Tay súng xông vào khách sạn, giết người nước ngoài.	3	Tin Tức
168	Quốc hội Ukraine bỏ phiếu phế truất tổng thống.	Thủ lĩnh phe đối lập Ukraine muốn có thêm biểu tình.	2	Chính Trị
169	Hạ viện Thái giải tán, biểu tình vẫn dai dẳng.	Thủ tướng Thái giải tán quốc hội.	4	Chính Trị
170	An ninh thắt chặt tại Chung kết Hoa hậu Thế giới ở Indonesia.	Hàng chục người vẫn mất tích sau vụ chìm thuyền ở Indonesia.	1	Tin Tức
171	Obama, Hollande Chào mừng quan hệ Mỹ - Pháp đã thay đổi.	Hollande đến thăm cấp nhà nước Hoa Kỳ.	1	Chính Trị
172	Quốc hội Nga cho phép Putin dùng quân sự ở Ukraine.	Tổng thống Obama cảnh báo Nga tránh xa Ukraine.	1	Chính Trị
173	Người biểu tình ở Brazil tuần hành ở 80 thành phố.	Các cuộc biểu tình ở Brazil đánh vào sự thất vọng của những người không có nhà cửa.	1	Chính Trị
174	Hàng trăm người bị bao vây trong nhà thờ Hồi giáo Fateh của Ai Cập.	Hàng chục người chết trong cuộc tắm máu ở Ai Cập.	1	Chiến Tranh
175	Mỹ xác định mức độ sử dụng vũ khí hóa học của Syria.	Những gì chúng ta biết cho đến nay về vũ khí hóa học trong cuộc nội chiến ở Syria.	2	Tin Tức
176	Tỷ phú tuyên bố chiến thắng ở Ukraine và hứa tìm kiếm tương lai ở EU.	Các điểm bỏ phiếu mở tại cuộc bầu cử tổng thống Ukraine.	0	Chính Trị
177	Cuộc chiến ngấm ngầm ở Pakistan.	Động đất lớn mới rung chuyển tây nam Pakistan.	0	Tin Tức
178	Obama ca ngợi hiệu ứng truyền cảm hứng của Mandela Obama gặp gia đình Mandela.	Obama gặp gia đình Mandela.	2	Tin Tức
179	Nỗ lực cứu hộ tiếp tục trong thảm họa phà Hàn Quốc.	Sự tức giận lan rộng về vụ chìm phà ở Hàn Quốc.	1	Chính Trị
180	Chứng khoán Ấn Độ mở cửa thấp hơn.	Chứng khoán Ấn Độ đóng cửa thấp hơn.	1	Thị Trường
181	Chứng khoán Ấn Độ đóng cửa thấp hơn.	 Chứng khoán Ấn Độ đóng cửa cao hơn.	2	Thị Trường
182	10 điều cần biết cho thứ tư.	10 điều cần biết cho ngày hôm nay.	2	Tin Tức
183	Tổng chưởng lý Hoa Kỳ Holder từ chức.	Tổng chưởng lý Hoa Kỳ Eric Holder từ chức.	4	Chính Trị
184	Động đất 7,3 độ Richter tàn phá Nepal.	Động đất 7,9 độ Richter tàn phá Nepal.	4	Tin Tức
185	Ngừng bắn ở Gaza kết thúc.	Lệnh ngừng bắn ở Gaza đang được tiến hành.	3	Chiến Tranh
186	Cổ phiếu Singapore mở cửa cao hơn 0,83% vào thứ Tư.	Cổ phiếu Singapore mở cửa thấp hơn 0,06% vào thứ Ba.	1	Kinh Tế
187	4 người chết, nhiều người bị thương trong vụ tai nạn xe hơi ở Tây Nam Trung Quốc.	Hai người chết, 17 người bị thương trong vụ tai nạn đường Raiwind.	1	Tin Tức
188	Biểu tình nổ ra trong Thế vận hội Bản địa Thế giới ở Brazil.	Biểu tình trước ngày khai mạc Thế vận hội Bản địa Thế giới.	1	Thể Thao
189	Sáu thường dân thiệt mạng trong giao tranh mới ở miền đông Ukraine.	9 người thiệt mạng trong giao tranh ở miền đông Ukraine.	3	Tin Tức
190	Mũ bảo hiểm của Shellios Technolabs giúp người lái xe môtô bảo vệ sức khỏe khi tham gia giao thông trên những con đường đầy ắp khói bụi.	Giúp con người tham gia giao thông trên con đường đầy ắp khói bụi là mũ bảo hiểm của Shellios Technolabs.	3	Khoa Học
191	Robot OceanOneK của phòng thí nghiệm Stanford Robotics có thể lặn sâu một kilomet để thu hồi cổ vật, thám hiểm xác tàu đắm và sửa chữa công trình dưới biển.	Phòng thí nghiệm Stanfort Robotics phát minh ra robot oceanonek có thể lặn sâu một kilomet để thu hồi cổ vật, thám hiểm xác tàu đắm và sửa chữa công trình dưới biển.	4	Khoa Học
